Sample	Subtype	class	d_CD163(H1)_P	d_CD163(H2)_P	d_CD163(H3)_P	d_CD163.CD206.CD68_NNP	d_CD163.CD206.CD68_NPN	d_CD163.CD206.CD68_NPP	d_CD163.CD206.CD68_PNN	d_CD163.CD206.CD68_PNP	d_CD163.CD206.CD68_PPN	d_CD163.CD206.CD68_PPP	d_CD163.CD206.ICSBP_NNP	d_CD163.CD206.ICSBP_NPN	d_CD163.CD206.ICSBP_NPP	d_CD163.CD206.ICSBP_PNN	d_CD163.CD206.ICSBP_PNP	d_CD163.CD206.ICSBP_PPN	d_CD163.CD206.ICSBP_PPP	d_CD163.CD206.PANCK_NNP	d_CD163.CD206.PANCK_NPN	d_CD163.CD206.PANCK_NPP	d_CD163.CD206.PANCK_PNN	d_CD163.CD206.PANCK_PNP	d_CD163.CD206.PANCK_PPN	d_CD163.CD206.PANCK_PPP	d_CD163.CD206_NP	d_CD163.CD206_PN	d_CD163.CD206_PP	d_CD163.CD68.ICSBP_NNP	d_CD163.CD68.ICSBP_NPN	d_CD163.CD68.ICSBP_NPP	d_CD163.CD68.ICSBP_PNN	d_CD163.CD68.ICSBP_PNP	d_CD163.CD68.ICSBP_PPN	d_CD163.CD68.ICSBP_PPP	d_CD163.CD68.PANCK_NNP	d_CD163.CD68.PANCK_NPN	d_CD163.CD68.PANCK_NPP	d_CD163.CD68.PANCK_PNN	d_CD163.CD68.PANCK_PNP	d_CD163.CD68.PANCK_PPN	d_CD163.CD68.PANCK_PPP	d_CD163.CD68_NP	d_CD163.CD68_PN	d_CD163.CD68_PP	d_CD163.ICSBP.PANCK_NNP	d_CD163.ICSBP.PANCK_NPN	d_CD163.ICSBP.PANCK_NPP	d_CD163.ICSBP.PANCK_PNN	d_CD163.ICSBP.PANCK_PNP	d_CD163.ICSBP.PANCK_PPN	d_CD163.ICSBP.PANCK_PPP	d_CD163.ICSBP_NP	d_CD163.ICSBP_PN	d_CD163.ICSBP_PP	d_CD163.PANCK_NP	d_CD163.PANCK_PN	d_CD163.PANCK_PP	d_CD163_P	d_CD206(H1)_P	d_CD206(H2)_P	d_CD206(H3)_P	d_CD206.CD68.ICSBP_NNP	d_CD206.CD68.ICSBP_NPN	d_CD206.CD68.ICSBP_NPP	d_CD206.CD68.ICSBP_PNN	d_CD206.CD68.ICSBP_PNP	d_CD206.CD68.ICSBP_PPN	d_CD206.CD68.ICSBP_PPP	d_CD206.CD68.PANCK_NNP	d_CD206.CD68.PANCK_NPN	d_CD206.CD68.PANCK_NPP	d_CD206.CD68.PANCK_PNN	d_CD206.CD68.PANCK_PNP	d_CD206.CD68.PANCK_PPN	d_CD206.CD68.PANCK_PPP	d_CD206.CD68_NP	d_CD206.CD68_PN	d_CD206.CD68_PP	d_CD206.ICSBP.PANCK_NNP	d_CD206.ICSBP.PANCK_NPN	d_CD206.ICSBP.PANCK_NPP	d_CD206.ICSBP.PANCK_PNN	d_CD206.ICSBP.PANCK_PNP	d_CD206.ICSBP.PANCK_PPN	d_CD206.ICSBP.PANCK_PPP	d_CD206.ICSBP_NP	d_CD206.ICSBP_PN	d_CD206.ICSBP_PP	d_CD206.PANCK_NP	d_CD206.PANCK_PN	d_CD206.PANCK_PP	d_CD206_P	d_CD68(H1)_P	d_CD68(H2)_P	d_CD68(H3)_P	d_CD68.ICSBP.PANCK_NNP	d_CD68.ICSBP.PANCK_NPN	d_CD68.ICSBP.PANCK_NPP	d_CD68.ICSBP.PANCK_PNN	d_CD68.ICSBP.PANCK_PNP	d_CD68.ICSBP.PANCK_PPN	d_CD68.ICSBP.PANCK_PPP	d_CD68.ICSBP_NP	d_CD68.ICSBP_PN	d_CD68.ICSBP_PP	d_CD68.PANCK_NP	d_CD68.PANCK_PN	d_CD68.PANCK_PP	d_CD68_P	d_ICSBP(H1)_P	d_ICSBP(H2)_P	d_ICSBP(H3)_P	d_ICSBP.PANCK_NP	d_ICSBP.PANCK_PN	d_ICSBP.PANCK_PP	d_ICSBP_P	d_PANCK(H1)_P	d_PANCK(H2)_P	d_PANCK(H3)_P	d_PANCK_P	
1-A	2L	Stroma	11.073724985147365	0	0	274.0746933823973	132.88469982176838	66.44234991088419	0	0	0	0	0	196.55861848636573	2.7684312462868412	0	0	0	0	0	199.3270497326526	0	0	0	0	0	199.3270497326526	0	0	2.7684312462868412	340.5170432932815	0	0	0	0	0	0	340.5170432932815	0	0	0	0	0	340.5170432932815	0	0	0	2.7684312462868412	0	0	0	0	0	2.7684312462868412	0	0	0	0	0	0	141.18999356062892	5.5368624925736825	0	0	274.0746933823973	0	130.11626857548154	2.7684312462868412	66.44234991088419	0	0	274.0746933823973	0	132.88469982176838	0	66.44234991088419	0	274.0746933823973	132.88469982176838	66.44234991088419	0	0	0	196.55861848636573	0	2.7684312462868412	0	0	196.55861848636573	2.7684312462868412	0	199.3270497326526	0	199.3270497326526	359.8960620172894	5.5368624925736825	0	0	2.7684312462868412	0	340.5170432932815	0	0	0	2.7684312462868412	340.5170432932815	0	0	340.5170432932815	0	340.5170432932815	0	2.7684312462868412	0	0	2.7684312462868412	0	2.7684312462868412	11.073724985147365	0	0	0	
1-A	2L	Tumor	35.54183785683008	0.7253436297312261	0.7253436297312261	296.66554456007145	65.28092667581035	203.82155995447454	0	0.7253436297312261	0.7253436297312261	11.605498075699618	20.309621632474332	246.61683410861687	22.48565252166801	0	0.7253436297312261	11.605498075699618	0.7253436297312261	1397.0118308623414	127.6604788326958	141.4420077975891	0	0.7253436297312261	2.9013745189249045	9.42946718650594	269.1024866302849	0.7253436297312261	12.330841705430844	9.42946718650594	467.1212975469096	33.3658069676364	0.7253436297312261	0	10.880154445968392	1.4506872594624522	1284.5835682540014	246.61683410861687	253.87027040592915	0.7253436297312261	0	2.176030889193678	10.154810816237166	500.487104514546	0.7253436297312261	12.330841705430844	1510.1654371004129	14.506872594624522	28.28840155951782	2.9013745189249045	8.704123556774713	0	1.4506872594624522	42.79527415414234	11.605498075699618	1.4506872594624522	1538.4538386599306	2.9013745189249045	10.154810816237166	13.05618533516207	171.90644024630058	23.210996151399236	3.6267181486561304	8.704123556774713	285.06004648437187	12.330841705430844	65.28092667581035	0.7253436297312261	192.94140550850614	22.48565252166801	1271.5273829188393	171.18109661656936	126.20979157323335	52.95008497037951	13.05618533516207	77.61176838124119	137.81528964893297	297.3908881898027	66.00627030554158	215.42705803017415	1387.5823636758355	10.880154445968392	10.154810816237166	126.93513520296457	131.28719698135194	3.6267181486561304	19.584278002743105	21.034965262205557	258.2223321843165	23.210996151399236	1397.7371744920727	130.5618533516207	150.87147498409504	281.4333283357157	525.8741315551389	20.309621632474332	0.7253436297312261	1283.132880994539	7.978779927043488	1.4506872594624522	242.26477233022953	235.7366796626485	6.528092667581035	28.28840155951782	9.42946718650594	478.001451992878	34.81649422709885	1284.5835682540014	248.79286499781057	264.0250812221663	512.8179462199769	39.16855600548621	2.9013745189249045	2.176030889193678	1518.8695606571875	14.506872594624522	29.73908881898027	44.245961413604796	1706.0082171278439	441.00892687658546	408.3684635386803	1548.6086494761678	
1-B	7S	Stroma	1739.0802430034987	286.11477531531096	54.73500049510296	1306.1761481785934	248.79545679592255	450.3197768006198	492.6150044559267	1032.5011457030787	17.41568197571458	136.8375012377574	79.61454617469522	696.6272790285832	2.4879545679592256	1502.7245590473722	22.39159111163303	154.25318321347197	0	226.4038656842895	691.6513698926647	7.463863703877677	1438.0377402804324	87.0784098785729	154.25318321347197	0	699.1152335965423	1525.1161501590052	154.25318321347197	27.36750024755148	1701.7609244841103	54.73500049510296	502.56682272776357	7.463863703877677	1154.4109195330807	14.927727407755354	144.3013649416351	1666.929560532681	89.56636444653212	490.1270498879674	19.903636543673805	1102.163873605937	67.17477333489909	1756.4959249792132	510.03068643164124	1169.338646940836	228.89182025224875	77.12659160673599	4.975909135918451	1569.8993323822713	87.0784098785729	22.39159111163303	0	82.10250074265444	1656.9777422608443	22.39159111163303	233.8677293881672	1592.2909234939043	87.0784098785729	1679.3693333724773	395.58477630551687	104.49409185428748	44.78318222326606	32.34340938346993	2269.0145659788136	69.66272790285832	263.72318420367793	2.4879545679592256	587.1572780383773	0	161.71704691734965	2186.9120652361594	151.76522864551276	263.72318420367793	2.4879545679592256	582.1813689024588	4.975909135918451	2338.677293881672	266.21113877163714	587.1572780383773	308.50636642694394	97.0302281504098	4.975909135918451	843.4165985381775	7.463863703877677	2.4879545679592256	0	102.00613728632825	850.8804622420552	2.4879545679592256	313.4822755628624	845.9045531061366	7.463863703877677	853.3684168100143	2930.8104810559676	445.34386766470135	67.17477333489909	159.22909234939044	29.855454815510708	4.975909135918451	2699.4307062357598	156.7411377814312	69.66272790285832	0	34.83136395142916	2856.171844017191	69.66272790285832	164.20500148530888	2769.0934341386182	156.7411377814312	2925.8345719200493	92.05431901449134	32.34340938346993	27.36750024755148	315.9702301308216	99.51818271836902	4.975909135918451	104.49409185428748	24.879545679592255	0	0	320.9461392667401	
1-B	7S	Tumor	837.4998953125131	50.84820792968829	4.785713687500075	726.2320520781363	80.75891847656376	64.00892057031349	125.62498429687696	327.8213875937551	10.767855796875168	30.508924757812974	46.062494242188215	137.58926851562714	7.178570531250112	440.28565925000686	13.160712640625205	40.080352132813125	1.1964284218750187	6819.6420046876065	11.366070007812677	133.4017690390646	45.46428003125071	407.98209185938134	5.383927898437584	35.89285265625056	144.76783904687724	453.44637189063207	41.276780554688145	20.339283171875316	757.3391910468868	32.901781601563016	133.9999832500021	2.3928568437500375	346.3660281328179	11.964284218750187	6204.079581632909	41.276780554688145	748.9641920937617	6.580356320312602	129.8124837734395	44.26785160937569	314.0624607421924	790.2409726484498	136.3928400937521	358.33031235156807	6902.79378000792	2.9910710546875467	50.24999371875078	49.651779507813274	430.7142318750067	1.1964284218750187	13.160712640625205	53.24106477343833	480.36601138282	14.357141062500224	6953.043773726671	50.84820792968829	443.8749445156319	494.7231524453202	84.94641795312633	12.562498429687695	4.785713687500075	19.1428547500003	1013.9730875390783	40.080352132813125	87.93748900781387	3.589285265625056	89.73213164062639	4.785713687500075	6247.749219031347	74.17856215625116	979.8748775156403	5.383927898437584	86.14284637500134	11.366070007812677	83.15177532031379	1054.0534396718915	91.52677427343893	94.51784532812647	7171.9901749298	3.589285265625056	55.63392161718836	16.15178369531275	161.51783695312753	0.5982142109375094	7.776784742187621	59.22320688281342	177.66962064844026	8.37499895312513	7227.624096546988	16.74999790625026	169.29462169531513	186.0446196015654	1240.6962734843944	183.65176275781536	29.910710546875467	6311.758139601661	0.5982142109375094	22.133925804687845	81.95534689843878	1021.7498722812659	3.589285265625056	41.276780554688145	22.732140015625355	1103.7052191797047	44.866065820313196	6333.892065406349	85.54463216406383	1063.026652835954	1148.571285000018	436.6963739843818	7.178570531250112	13.160712640625205	7333.508011882926	4.187499476562565	63.410706359375986	67.59820583593856	5512.543953789148	921.8480990547018	386.44638026563103	7396.918718242303	
1-C	4A	Stroma	387.81071298787276	16.984410787790047	0.7076837828245853	956.0807905960148	14.153675656491707	4.246102696947512	31.138086444281754	129.50613225689912	0	0	4.246102696947512	18.399778353439217	0	159.93653491835627	0.7076837828245853	0	0	0	18.399778353439217	0	160.64421870118088	0	0	0	18.399778353439217	160.64421870118088	0	2.123051348473756	958.2038419444885	2.123051348473756	31.138086444281754	0	128.79844847407452	0.7076837828245853	0	960.3268932929623	0	31.138086444281754	0	129.50613225689912	0	960.3268932929623	31.138086444281754	129.50613225689912	0	4.246102696947512	0	159.93653491835627	0	0.7076837828245853	0	4.246102696947512	159.93653491835627	0.7076837828245853	0	160.64421870118088	0	160.64421870118088	7.0768378282458535	0.7076837828245853	0	2.123051348473756	1082.7561877216156	2.8307351312983413	14.153675656491707	0	4.246102696947512	0	0	1085.5869228529139	0	14.153675656491707	0	4.246102696947512	0	1085.5869228529139	14.153675656491707	4.246102696947512	0	4.953786479772098	0	18.399778353439217	0	0	0	4.953786479772098	18.399778353439217	0	0	18.399778353439217	0	18.399778353439217	1984.3453270401374	354.54957519511726	54.49165127749307	0	2.123051348473756	0	1087.002290418563	0	2.8307351312983413	0	2.123051348473756	1087.002290418563	2.8307351312983413	0	1089.8330255498613	0	1089.8330255498613	4.953786479772098	0	0	0	4.953786479772098	0	4.953786479772098	4.953786479772098	0	0	0	
1-C	4A	Tumor	862.1674248354361	19.499747896116485	5.5713565417475674	2165.8648556043668	0	0	140.67675267912608	172.71205279417458	0	1.3928391354368919	0	0	0	313.3888054733007	0	0	1.3928391354368919	4762.117004058733	0	0	65.46343936553392	247.92536610776676	0	1.3928391354368919	0	313.3888054733007	1.3928391354368919	0	2165.8648556043668	0	140.67675267912608	0	172.71205279417458	1.3928391354368919	3352.563798996599	756.3116505422323	1409.5532050621346	18.106908760679595	122.56984391844648	47.35653060485432	126.74836132475716	2165.8648556043668	140.67675267912608	174.10489192961148	4762.117004058733	0	0	65.46343936553392	247.92536610776676	0	1.3928391354368919	0	313.3888054733007	1.3928391354368919	4762.117004058733	65.46343936553392	249.31820524320364	314.78164460873757	1.3928391354368919	0	0	0	2338.5769083985415	0	0	0	0	1.3928391354368919	3475.133642915045	803.6681811470867	1534.9087272514548	0	0	0	1.3928391354368919	2338.5769083985415	0	1.3928391354368919	5010.0423701665	0	0	0	0	0	1.3928391354368919	0	0	1.3928391354368919	5010.0423701665	0	1.3928391354368919	1.3928391354368919	3674.309639282521	814.8108942305818	236.7826530242716	3475.133642915045	0	0	803.6681811470867	1534.9087272514548	0	1.3928391354368919	0	2338.5769083985415	1.3928391354368919	3475.133642915045	803.6681811470867	1536.3015663868916	2339.9697475339785	1.3928391354368919	0	0	5010.0423701665	0	1.3928391354368919	1.3928391354368919	2086.473024884464	1952.7604678825223	1777.262736817474	5011.435209301937	
1-D	6CA	Stroma	769.849638101017	50.59011907520969	2.1995703945743346	1915.8258136742454	1.4663802630495564	0.7331901315247782	36.65950657623891	162.03501906697596	0	0	0	2.1995703945743346	0	198.6945256432149	0	0	0	0	2.1995703945743346	0	198.6945256432149	0	0	0	2.1995703945743346	198.6945256432149	0	0	1916.55900380577	0	36.65950657623891	0	162.03501906697596	0	0	1916.55900380577	0	36.65950657623891	0	162.03501906697596	0	1916.55900380577	36.65950657623891	162.03501906697596	0	0	0	198.6945256432149	0	0	0	0	198.6945256432149	0	0	198.6945256432149	0	198.6945256432149	1.4663802630495564	0	0	0	2077.860832741221	0	1.4663802630495564	0	0.7331901315247782	0	0	2077.860832741221	0	1.4663802630495564	0	0.7331901315247782	0	2077.860832741221	1.4663802630495564	0.7331901315247782	0	0	0	2.1995703945743346	0	0	0	0	2.1995703945743346	0	0	2.1995703945743346	0	2.1995703945743346	2197.3708241797603	304.27390458278296	65.98711183723003	0	0	0	2078.5940228727463	0	0	0	0	2078.5940228727463	0	0	2078.5940228727463	0	2078.5940228727463	0	0	0	0	0	0	0	5.132330920673447	0	0	0	
1-D	6CA	Tumor	2402.6726608488657	56.54514519751665	3.968080364738011	1437.4371121263446	0	3.968080364738011	103.17008948318829	243.0449223402032	0	0	14.880301367767542	3.968080364738011	0	341.25491136746894	4.960100455922514	0	0	3438.3416360454867	0	3.968080364738011	88.28978811542075	257.9252237079707	0	0	3.968080364738011	346.2150118233915	0	14.880301367767542	1441.4051924910825	0	99.20200911845028	3.968080364738011	242.05290224901867	0.9920200911845027	2654.645764009729	653.7412400905873	787.6639524004952	0	103.17008948318829	88.28978811542075	154.75513422478244	1441.4051924910825	103.17008948318829	243.0449223402032	3427.429415042457	0	14.880301367767542	88.28978811542075	252.9651232520482	0	4.960100455922514	14.880301367767542	341.25491136746894	4.960100455922514	3442.3097164102246	88.28978811542075	257.9252237079707	346.2150118233915	0.9920200911845027	0	0	18.84838173250555	1679.4900143753632	0.9920200911845027	0	0	3.968080364738011	0	2757.8158534929175	742.031028206008	938.4510062605395	0	0	0	3.968080364738011	1680.4820344665477	0	3.968080364738011	3676.4264579297674	0	19.840401823690055	0	3.968080364738011	0	0	19.840401823690055	3.968080364738011	0	3696.266859753457	0	3.968080364738011	3.968080364738011	1925.5109969891198	260.9012839815242	81.34564747712922	2738.967471760412	0	18.84838173250555	742.031028206008	941.4270665340931	0	0.9920200911845027	18.84838173250555	1683.4580947401012	0.9920200911845027	2757.8158534929175	742.031028206008	942.4190866252776	1684.4501148312856	68.44938629173069	0	0	3680.3945382945053	0	19.840401823690055	19.840401823690055	718.2225460175799	1256.889455530765	2028.6810864723082	3700.234940118195	
1-E	6CA	Stroma	2771.4317672349725	160.8847743246287	1.9152949324360558	2708.227034464583	126.40946554077968	258.56481587886753	197.27537804091375	542.0284658794038	19.15294932436056	86.18827195962251	170.46124898680895	363.9060371628506	21.068244256796614	649.2849820958229	90.01886182449462	90.01886182449462	15.322359459488446	24.898834121668724	379.22839662233906	5.745884797308167	731.6426641905733	7.661179729744223	105.34122128398307	0	384.97428141964724	739.3038439203175	105.34122128398307	26.814129054104782	2802.0764861539496	164.7153641895008	210.68244256796615	5.745884797308167	528.6214013523514	99.5953364866749	9.57647466218028	2945.723606086654	21.068244256796614	214.51303243283826	1.9152949324360558	622.4708530417181	5.745884797308167	2966.7918503434503	216.4283273652743	628.2167378390263	28.729423986540837	189.61419831116953	1.9152949324360558	733.5579591230094	5.745884797308167	103.42592635154702	1.9152949324360558	191.52949324360557	739.3038439203175	105.34122128398307	30.644718918976892	836.9838854745564	7.661179729744223	844.6450652043006	271.97188040591993	22.98353918923267	3.8305898648721115	26.814129054104782	3016.589518586788	233.6659817571988	139.81653006783208	5.745884797308167	314.10836891951317	30.644718918976892	9.57647466218028	3227.271961154754	22.98353918923267	143.6471199327042	1.9152949324360558	340.9224979736179	3.8305898648721115	3250.2555003439866	145.56241486514025	344.75308783849005	30.644718918976892	258.56481587886753	1.9152949324360558	450.09430912247313	3.8305898648721115	34.475308783849	1.9152949324360558	260.4801108113036	453.9248989873452	36.390603716285064	32.56001385141295	484.5696179063221	5.745884797308167	490.3155027036303	3075.9636614923056	302.6165993248968	53.628258108209565	11.491769594616335	32.56001385141295	0	3307.7143483170685	22.98353918923267	260.4801108113036	3.8305898648721115	32.56001385141295	3330.697887506301	264.3107006761757	11.491769594616335	3568.194459128372	26.814129054104782	3595.0085881824766	317.93895878438525	21.068244256796614	45.96707837846534	34.475308783849	293.04012466271655	3.8305898648721115	296.87071452758863	5.745884797308167	0	0	38.30589864872112	
1-E	6CA	Tumor	1864.384231405852	77.93245983368513	7.493505753238955	2346.4664348642245	26.97662071166024	95.41730659124269	103.9099464449135	264.27096956422713	3.9965364017274427	32.9714253142514	160.36102311931364	108.90561694707282	13.48831035583012	345.20083169920787	22.980084309932796	29.47445596273989	7.493505753238955	4114.434225578402	54.95237552375234	67.4415517791506	100.91254414361792	267.26837186552274	11.989609205182328	24.978352510796515	122.39392730290292	368.1809160091407	36.967961715978845	74.43549048217362	2342.4698984624974	99.41384299297013	102.91081234448164	4.995670502159303	271.7644753174661	25.477919561012445	2228.568611013265	488.57657511117986	1953.3071663442877	31.972291213819542	75.93419163282141	80.92986213498071	216.31253274349783	2441.8837414554673	107.90648284664096	297.24239487847854	4033.0047963932057	24.978352510796515	148.87098096434724	103.41037939469757	271.2649082672502	9.491773954102676	20.981816109069072	173.84933347514377	374.6752876619477	30.47359006317175	4181.875777357553	112.90215334880025	292.24672437631926	405.1488777251195	89.42250198865153	12.988743305614188	2.997402301295582	78.93159393411699	2506.3278909333226	104.40951349512943	30.47359006317175	0.49956705021593034	107.90648284664096	20.482249058853142	2288.017089988961	517.0518969734879	2093.685507454964	14.48744445626198	16.4857126571257	52.45454027267268	75.93419163282141	2610.737404428452	30.97315711338768	128.3887319054941	4226.337244826771	27.9757548120921	155.36535261715434	60.44761307612757	77.93245983368513	6.494371652807094	14.48744445626198	183.34110742924642	138.3800729098127	20.981816109069072	4381.702597443925	66.94198472893466	92.41990428994711	159.36188901888178	2128.655200970079	365.683080758061	91.92033723973118	2227.569476912833	2.4978352510796515	76.93332573325327	537.534146032341	2076.700227747622	31.972291213819542	92.91947134016304	79.43116098433292	2614.2343737799633	124.89176255398259	2304.5028026460864	569.5064372461605	2169.619699087785	2739.126136333946	435.1229007380753	9.991341004318606	5.994804602591164	4304.269704660455	34.470126464899195	169.8527970734163	204.3229235383155	2861.020496586633	933.6908168535738	346.69953284985564	4474.122501733872	
