Subtype	Cluster	Cell	Score	Celltype
Lep	Lep_ST_P8_1_Cluster2	B	0.00878638421317946	Immune
Lep	Lep_ST_P8_1_Cluster2	IGSF21+ Dendritic	1.62364826355161e-05	Immune
Lep	Lep_ST_P8_1_Cluster2	EREG+ Dendritic	0.000356424499077382	Immune
Lep	Lep_ST_P8_1_Cluster2	Plasmacytoid Dendritic	0.00017362755838694	Immune
Lep	Lep_ST_P8_1_Cluster2	Myeloid Dendritic Type 1	2.18566688627691e-05	Immune
Lep	Lep_ST_P8_1_Cluster2	TREM2+ Dendritic	8.59354263137452e-05	Immune
Lep	Lep_ST_P8_1_Cluster2	Differentiating Basal	0.0115495711963761	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Proliferating Basal	0.00151579872212512	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Basal	0.023512809361523	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Plasma	0.000122709630840262	Immune
Lep	Lep_ST_P8_1_Cluster2	Macrophage	0.0395737558597608	Immune
Lep	Lep_ST_P8_1_Cluster2	Basophil/Mast 1	0.00206640766956551	Immune
Lep	Lep_ST_P8_1_Cluster2	Proliferating Macrophage	0.000947408935994461	Immune
Lep	Lep_ST_P8_1_Cluster2	Capillary Aerocyte	0.00672950512016943	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Capillary	0.0118707449909697	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Bronchial Vessel 2	3.30212358855928e-05	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Vein	0.000778440419885699	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Artery	4.31299424987625e-05	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Lymphatic	7.7197029547659e-06	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Bronchial Vessel 1	2.28143107643083e-05	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Airway Smooth Muscle	0.000697253606022094	Stroma
Lep	Lep_ST_P8_1_Cluster2	Alveolar Epithelial Type 2	0.100997970084598	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Club	0.512763972440163	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Pericyte	0.000315779920039876	Stroma
Lep	Lep_ST_P8_1_Cluster2	Myofibroblast	0.00140839445299515	Stroma
Lep	Lep_ST_P8_1_Cluster2	Alveolar Epithelial Type 1	0.0640913868401898	Epithelial
